,pcid,pcidname,cid,cidname,cidtype,comment_num,word_num
0,9,运动户外,50014775,手电筒,c3id,2118778,144190
1,9,运动户外,50013933,运动户外风衣,c3id,1397727,101381
2,9,运动户外,50012323,羽毛球拍,c3id,1136391,97354
3,9,运动户外,50011739,运动茄克/外套,c2id,1034944,104962
4,9,运动户外,50013203,篮球,c3id,849959,71339
5,9,运动户外,50012322,羽毛球,c3id,425935,50695
6,9,运动户外,50016143,一次性内裤,c3id,233861,32735
7,9,运动户外,122716008,自平衡电动车,c3id,219849,42119
8,9,运动户外,50019775,电动平衡车,c3id,186031,37154
9,9,运动户外,50011718,运动风衣,c2id,139205,35474
10,9,运动户外,261204,儿童自行车,c3id,15156,12116
11,9,运动户外,50018731,螺丝刀,c3id,11350,7063
12,9,运动户外,50016760,充气沙发,c4id,2620,3579
13,9,运动户外,121462025,智能手环,c3id,2382,3567
14,9,运动户外,50013309,场馆音响设备,c3id,14,46
15,9,运动户外,50017622,充气设备,c3id,0,0
16,9,运动户外,50018102,更多橄榄球配件,c3id,0,0
17,9,运动户外,121418009,牙盘曲柄中轴套装,c3id,0,0
18,9,运动户外,50019598,垂钓望远镜,c3id,0,0
19,9,运动户外,121458015,跳高杆,c3id,0,0
20,9,运动户外,50016701,双排轮,c3id,0,0
21,9,运动户外,50017985,三节甩棍/伸缩棍,c3id,0,0
22,9,运动户外,50023450,马术头盔,c4id,0,0
23,9,运动户外,50017869,更多棒球配件,c3id,0,0
24,9,运动户外,50016666,瑜伽包,c3id,0,0
25,9,运动户外,121416021,鞋带,c2id,0,0
26,9,运动户外,122690001,电动车辐条,c3id,0,0
27,9,运动户外,50013893,户外桌子,c3id,0,0
28,9,运动户外,50015985,洗漱包/化妆包,c3id,0,0
29,9,运动户外,50017132,更多大型健身器械,c3id,0,0
30,9,运动户外,50018164,其他防护救生装备,c3id,0,0
31,9,运动户外,121454015,计步器,c3id,0,0
32,9,运动户外,50017122,跳跳床/蹦蹦床,c3id,0,0
33,9,运动户外,50019248,跳跳环/闪光跳,c3id,0,0
34,9,运动户外,50012333,运动袜,c3id,0,0
35,9,运动户外,50016739,男士泳衣,c3id,0,0
36,9,运动户外,50019553,健身锤/按摩捶,c3id,0,0
37,9,运动户外,50017115,更多中小型健身器材,c3id,0,0
38,9,运动户外,50017121,椭圆机,c3id,0,0
39,9,运动户外,50020038,动感单车,c3id,0,0
40,9,运动户外,50020040,力量训练器械(综合型),c3id,0,0
41,9,运动户外,50012324,羽毛球包,c3id,0,0
42,9,运动户外,50016730,更多极限运动,c3id,0,0
43,9,运动户外,50017886,筛盅,c3id,0,0
44,9,运动户外,50016737,分体泳衣,c3id,0,0
45,9,运动户外,50017106,美腿机/腿部训练器,c3id,0,0
46,9,运动户外,50017726,杆盒/杆筒/杆袋,c3id,0,0
47,9,运动户外,50017728,巧克粉,c3id,0,0
48,9,运动户外,50017729,台球三指手套,c3id,0,0
49,9,运动户外,50017887,扑克,c3id,0,0
50,9,运动户外,50017895,军棋/陆战棋,c3id,0,0
51,9,运动户外,121482014,水壶,c3id,0,0
52,9,运动户外,50013314,泳池设备,c3id,0,0
53,9,运动户外,50017891,围棋,c3id,0,0
54,9,运动户外,50017724,台球杆,c3id,0,0
55,9,运动户外,50017725,台球桌,c3id,0,0
56,9,运动户外,50018053,桌上冰球,c3id,0,0
57,9,运动户外,50017892,中国象棋,c3id,0,0
58,9,运动户外,50018722,野外沐浴袋/太阳能沐浴袋,c3id,0,0
59,9,运动户外,50019723,酒壶,c3id,0,0
60,9,运动户外,50020279,悠悠/溜溜球,c3id,0,0
61,9,运动户外,50023421,高尔夫球服,c3id,0,0
62,9,运动户外,50017863,棒球帽,c3id,0,0
63,9,运动户外,123010002,电动车电池安装更换工时,c3id,0,0
64,9,运动户外,122658005,控制器接头/插接件,c3id,0,0
65,9,运动户外,50017270,田径运动服,c3id,0,0
66,9,运动户外,50017623,排球战术板,c3id,0,0
67,9,运动户外,50017276,山羊/跳马/跳箱,c3id,0,0
68,9,运动户外,50017861,棒球棒,c3id,0,0
