,pcid,pcidname,cid,cidname,cidtype,comment_num,word_num
0,100,pcid100,998800,pcid100cid,cnid,58320883,666927
1,100,pcid100,201904293,pcid100cid,cnid,41593718,560022
2,100,pcid100,2018111111,pcid100cid,cnid,17310888,458007
3,100,服装鞋包,50008882,内裤,c2id,16227183,252502
4,100,pcid100,2017112015,pcid100cid,cnid,11791526,268148
5,100,pcid100,2018112015,pcid100cid,cnid,11791526,268148
6,100,pcid100,20181010,pcid100cid,cnid,11232653,260308
7,100,pcid100,201904167,pcid100cid,cnid,10321922,389742
8,100,pcid100,2018090517,pcid100cid,cnid,7079620,327221
9,100,pcid100,20190409,pcid100cid,cnid,5164296,231291
10,100,pcid100,2018122611,pcid100cid,cnid,5142890,194984
11,100,pcid100,2018113012,pcid100cid,cnid,4819363,156668
12,100,pcid100,201903192,pcid100cid,cnid,3623900,169297
13,100,pcid100,2019041013,pcid100cid,cnid,3390650,195716
14,100,pcid100,2018082420,pcid100cid,cnid,3347223,149448
15,100,pcid100,2018040316,pcid100cid,cnid,2094059,136994
16,100,pcid100,2018112610,pcid100cid,cnid,1738700,118351
17,100,pcid100,2018082009,pcid100cid,cnid,1649262,130310
18,100,pcid100,2018101516,pcid100cid,cnid,1498310,140480
19,100,pcid100,2018102210,pcid100cid,cnid,1482854,123408
20,100,pcid100,2018113011,pcid100cid,cnid,1397466,118320
21,100,pcid100,bu,pcid100cid,cnid,1352764,97729
22,100,pcid100,2018061120,pcid100cid,cnid,1352093,89216
23,100,pcid100,10050004396,pcid100cid,cnid,1310995,124893
24,100,pcid100,2018102214,pcid100cid,cnid,1252018,104640
25,100,pcid100,2019012410,pcid100cid,cnid,1146344,109571
26,100,pcid100,1018112610,pcid100cid,cnid,1114911,103989
27,100,pcid100,1050006219,pcid100cid,cnid,949346,97757
28,100,pcid100,1018112614,pcid100cid,cnid,940990,97375
29,100,pcid100,2018112614,pcid100cid,cnid,927537,89185
30,100,pcid100,2018111213,pcid100cid,cnid,872979,77385
31,100,pcid100,2018090311,pcid100cid,cnid,868548,96160
32,100,pcid100,20180607,pcid100cid,cnid,823317,77332
33,100,pcid100,2018102728,pcid100cid,cnid,729673,80590
34,100,pcid100,2018070414,pcid100cid,cnid,695064,69136
35,100,pcid100,100350203,pcid100cid,cnid,681706,76519
36,100,pcid100,2018071815,pcid100cid,cnid,663662,67687
37,100,pcid100,20180227,pcid100cid,cnid,643440,68344
38,100,pcid100,2018070309,pcid100cid,cnid,535857,67509
39,100,pcid100,2018091716,pcid100cid,cnid,486073,34126
40,100,pcid100,2018110203,pcid100cid,cnid,484954,54635
41,100,pcid100,2018081312,pcid100cid,cnid,479947,61927
42,100,pcid100,100000000,pcid100cid,cnid,454477,58634
43,100,pcid100,2018061418,pcid100cid,cnid,445718,57805
44,100,pcid100,20190304,pcid100cid,cnid,442624,57520
45,100,pcid100,201904161,pcid100cid,cnid,431312,66431
46,100,pcid100,2018092011,pcid100cid,cnid,428627,53417
47,100,pcid100,2018082010,pcid100cid,cnid,405880,50839
48,100,pcid100,20190311,pcid100cid,cnid,372013,54119
49,100,pcid100,2018090717,pcid100cid,cnid,371459,66473
50,100,pcid100,20180125,pcid100cid,cnid,332136,43421
51,100,pcid100,2018101509,pcid100cid,cnid,284376,58925
52,100,pcid100,2019042514,pcid100cid,cnid,219120,42719
53,100,pcid100,1050008950,pcid100cid,cnid,184247,35439
54,100,pcid100,2019042318,pcid100cid,cnid,179257,39214
55,100,pcid100,2018070521,pcid100cid,cnid,146040,35441
56,100,pcid100,20190429,pcid100cid,cnid,140032,36493
57,100,pcid100,20190488,pcid100cid,cnid,140032,36493
58,100,pcid100,2019022115,pcid100cid,cnid,121637,32303
59,100,pcid100,2018101911,pcid100cid,cnid,27381,19788
60,100,pcid100,20190221,pcid100cid,cnid,14296,8578
61,100,pcid100,2018110514,pcid100cid,cnid,13601,8765
62,100,pcid100,2018092114,pcid100cid,cnid,13236,12070
63,100,pcid100,2018102715,pcid100cid,cnid,9133,8276
64,100,pcid100,bu1,pcid100cid,cnid,8871,7568
