,pcid,pcidname,cid,cidname,cidtype,comment_num,word_num
0,4,家用电器,1205,耳机/耳麦,c2id,6796658,310778
1,4,家用电器,50005050,蓝牙耳机,c2id,6762211,259347
2,4,家用电器,50012097,搅拌/料理机,c2id,5228190,169254
3,4,家用电器,50005266,手机耳机,c2id,4650359,184226
4,4,家用电器,350201,剃须刀,c3id,4126767,174108
5,4,家用电器,350213,电吹风,c3id,3725759,170626
6,4,家用电器,50013008,电饭煲,c2id,3710276,183469
7,4,家用电器,50003695,电热水壶,c2id,3243979,111301
8,4,家用电器,50228001,无线/蓝牙音箱,c3id,3189441,185385
9,4,家用电器,50012960,电热/火锅,c2id,2949200,176679
10,4,家用电器,350203,电动牙刷,c3id,2378033,174642
11,4,家用电器,350407,加湿器,c2id,1960126,131818
12,4,美妆饰品,50005002,电子美容仪,c3id,1793872,152083
13,4,家用电器,50005929,保健/养生/煎药壶,c2id,1759985,133117
14,4,家用电器,350712,体重秤/健康秤,c3id,1640990,96860
15,4,家用电器,50010409,其它健康/保健/检测,c3id,1560466,140917
16,4,家用电器,50001810,电脑多媒体音箱,c2id,1467784,111139
17,4,美妆饰品,50004396,毛孔清洁器/洁面仪,c3id,1335799,125647
18,4,家用电器,350402,空气净化/氧吧,c2id,1268442,118369
19,4,家用电器,50004363,电饼铛/可丽饼机,c2id,1177528,103368
20,4,美妆饰品,50005000,美容喷雾机/蒸脸器,c3id,1013381,76522
21,4,家用电器,50013497,燃气热水器,c3id,876273,84367
22,4,美妆饰品,350202,女士脱毛/剃毛器,c3id,835611,94207
23,4,家用电器,50012934,拉杆广场音箱/户外音响,c2id,603687,68213
24,4,家用电器,124252007,除螨仪,c2id,533494,55706
25,4,家用电器,50018406,按摩椅/沙发,c3id,444710,57466
26,4,家用电器,350301,洗衣机,c2id,322067,52213
27,4,美妆饰品,50005219,瘦脸机/瘦脸工具,c3id,315350,48747
28,4,家用电器,350404,暖风机/取暖器,c2id,268311,45109
29,4,家用电器,50019790,平板电视,c2id,236271,47546
30,4,家用电器,350504,净水器,c2id,226786,45578
31,4,家用电器,50003881,冰箱,c2id,218657,42634
32,4,家用电器,50008106,KTV/卡拉OK音箱,c3id,202627,43520
33,4,家用电器,50010401,卷/直发器,c3id,199768,30578
34,4,家用电器,50009106,保健护具(护腰/膝/腿),c3id,183087,33799
35,4,家用电器,50008376,冲牙器,c3id,182986,46211
36,4,家用电器,50003318,麦克风/话筒,c2id,182313,37450
37,4,家用电器,50008554,吸尘器,c2id,179257,39214
38,4,家用电器,121410014,插头,c4id,154677,22102
39,4,家用电器,50024944,耳机(麦),c2id,154552,36654
40,4,家用电器,50013011,电炖/煮粥锅/文火炉,c2id,149066,31867
41,4,家用电器,50018218,榨汁机,c2id,146062,33156
42,4,家用电器,50005267,插卡音箱/唱戏机,c3id,145120,31813
43,4,家用电器,50005011,理发器,c3id,137355,26401
44,4,家用电器,121702,功放,c3id,136385,36840
45,4,家用电器,350502,电磁炉,c2id,134602,30594
46,4,家用电器,350310,毛球修剪器,c2id,133068,21595
47,4,家用电器,121988001,回音壁音响,c2id,130723,38696
48,4,家用电器,50002894,电烤箱,c2id,128850,34973
49,4,家用电器,50013009,电压力锅,c2id,127586,30870
50,4,家用电器,350401,空调,c2id,125596,35573
51,4,家用电器,50013195,挂烫机,c2id,125279,26137
52,4,家用电器,121704,线材,c3id,124612,27665
53,4,家用电器,50005174,网络高清播放器,c2id,124246,32964
54,4,家用电器,50013475,电热水器,c3id,117052,32980
55,4,家用电器,50006534,扩音器,c3id,105528,27200
56,4,家用电器,50008556,豆浆机,c2id,100503,27599
57,4,家用电器,50025837,电热水龙头,c3id,97922,25204
58,4,家用电器,126412033,智能音箱,c2id,97093,33601
59,4,家用电器,50002893,饮水机,c2id,94525,24924
60,4,家用电器,50015382,燃气灶,c3id,90186,27759
61,4,家用电器,50013039,绞肉/碎肉机,c3id,90164,22717
62,4,家用电器,50008557,电风扇,c2id,89923,25534
63,4,家用电器,50002809,微波炉,c2id,88953,26151
64,4,家用电器,50008555,扫地机器人,c2id,86961,33816
65,4,家用电器,50001813,家庭影院,c2id,86306,30400
66,4,家用电器,50000360,电热毯,c2id,81979,22695
67,4,家用电器,50011873,净水/饮水机配件耗材,c3id,81729,23015
68,4,家用电器,50008542,电话机(有绳/无绳/网络),c2id,77508,18631
69,4,家用电器,350511,油烟机,c3id,75307,26136
70,4,家用电器,50018403,按摩披肩/肩背敲击按摩带,c3id,74439,18391
71,4,家用电器,50018404,按摩枕/颈腰靠垫/坐垫,c3id,74166,19932
72,4,家用电器,122724004,电子血压计,c4id,72192,18153
73,4,家用电器,50012101,干衣机,c2id,71031,22750
74,4,家用电器,50002898,煮蛋器/蒸蛋器,c2id,70699,19676
75,4,家用电器,121616,组合音响,c3id,69737,28711
76,4,家用电器,50019649,HDMI线,c3id,68736,20793
77,4,家用电器,50018263,烟灶消套装,c3id,68143,22680
78,4,家用电器,50005180,足浴器,c3id,58832,21685
79,4,家用电器,50008369,电热饭盒,c2id,54661,18360
80,4,家用电器,50015560,冷柜,c3id,52936,19196
81,4,家用电器,50018400,按摩棒/锤,c3id,51729,14938
82,4,家用电器,50004399,电动打蛋器,c2id,50732,16550
83,4,家用电器,50018327,吊扇,c2id,49107,18719
84,4,家用电器,50013026,其他商用厨电,c3id,47224,19096
85,4,家用电器,50009808,电视机架,c4id,46747,18075
86,4,家用电器,50002535,酸奶机,c2id,45319,16707
87,4,家用电器,50008366,电烤炉,c3id,44379,21368
88,4,家用电器,50011875,电煲/电锅类配件,c3id,42482,13729
89,4,家用电器,350503,消毒柜,c3id,42084,18208
90,4,家用电器,50008552,电熨斗,c2id,41683,14738
91,4,家用电器,121434057,干鞋器,c2id,41350,12808
92,4,家用电器,50008563,对讲机,c2id,40587,15003
93,4,家用电器,50018410,其它按摩器材,c3id,39261,14218
94,4,家用电器,50008365,磨粉机/药材粉碎机,c3id,38065,18173
95,4,家用电器,124212007,原汁机,c2id,37027,18752
96,4,家用电器,350409,电子温湿度计,c3id,36735,13323
97,4,家用电器,50018103,面包机,c2id,36719,19691
98,4,家用电器,50022661,温灸器配件,c4id,36698,15207
99,4,家用电器,50018402,眼部按摩器,c3id,36040,15586
100,4,家用电器,50022662,温灸器,c3id,35685,15806
101,4,家用电器,50017072,抽湿器/除湿器,c2id,34636,19296
102,4,家用电器,350212,鼻毛修剪器,c3id,33989,11084
103,4,家用电器,50011872,净化/加湿抽湿机配件,c3id,33400,14587
104,4,家用电器,50003369,其它厨房家电配件,c3id,30930,14823
105,4,家用电器,50012955,对讲机配件,c3id,30718,11554
106,4,家用电器,50011883,牙刷头,c3id,30020,11015
107,4,家用电器,50023280,MP3/MP4耳机,c2id,29772,18419
108,4,家用电器,50002916,矫姿用品,c3id,29325,12917
109,4,家用电器,350507,咖啡机,c2id,28424,17603
110,4,家用电器,50011733,炒菜机/烹饪锅,c3id,27160,19986
111,4,家用电器,50025836,厨宝,c3id,27046,15064
112,4,家用电器,50015397,电陶炉,c2id,26568,15982
113,4,家用电器,350121,收音机,c3id,26255,14272
114,4,家用电器,50016107,遥控器,c3id,25767,10411
115,4,家用电器,50011878,剃须刀配件,c4id,25759,9594
116,4,家用电器,350408,换气扇/排气扇,c3id,25642,12442
117,4,家用电器,50013043,展示柜,c3id,24984,12569
118,4,家用电器,50017589,空调扇,c2id,24864,13508
119,4,家用电器,350709,定时器/提醒器,c2id,23753,10075
120,4,家用电器,50011869,吸尘器/扫地机配件,c3id,22005,11597
121,4,家用电器,50018409,按摩足疗机,c3id,21700,12509
122,4,家用电器,50013010,电蒸锅,c2id,21228,12194
123,4,家用电器,50005009,影碟机/DVD/蓝光/VCD/高清,c2id,21003,13086
124,4,家用电器,50003367,复读机,c3id,19438,9344
125,4,家用电器,50000013,多士炉,c2id,19084,10745
126,4,家用电器,50008109,舞台灯光,c4id,18989,9567
127,4,家用电器,50498004,即热式热水器,c3id,18504,12523
128,4,家用电器,50011867,耳机/耳麦配件,c3id,18451,12809
129,4,家用电器,50019650,VGA线,c3id,18380,8262
130,4,家用电器,50003987,电炸锅,c2id,17952,12979
131,4,家用电器,50008317,移动/便携DVD,c3id,17757,11356
132,4,家用电器,50012148,工程解决方案,c2id,17373,8669
133,4,家用电器,50004394,其他生活家电配件,c3id,17225,9945
134,4,家用电器,50006844,面条机,c2id,15712,12563
135,4,家用电器,50024629,其它美发工具,c3id,15459,8862
136,4,家用电器,50002900,其它厨房家电,c3id,15214,13632
137,4,家用电器,50006278,加香机,c3id,14466,7497
138,4,家用电器,50018399,MINI按摩器,c3id,14461,8662
139,4,家用电器,50022268,锅炉,c3id,14341,12716
140,4,家用电器,50013045,和面机,c3id,14264,12383
141,4,家用电器,50005137,收录机/手提CD/面包机,c3id,13983,8724
142,4,家用电器,50022738,烟机灶具配件,c3id,13933,8764
143,4,家用电器,50011870,缝纫机配件,c3id,13486,6885
144,4,家用电器,50011874,豆浆/搅拌/研磨机配件,c3id,13444,9178
145,4,家用电器,50008361,豆芽机,c3id,13231,9043
146,4,家用电器,50013032,商用制冰机,c3id,13139,7871
147,4,家用电器,50002889,暖手/脚宝,c3id,13030,9703
148,4,家用电器,50013033,刨冰/碎冰/冰沙机,c3id,12174,8366
149,4,家用电器,50024628,焗油帽/机,c3id,11688,7202
150,4,家用电器,124406004,集成灶,c3id,11434,9628
151,4,家用电器,50023117,其他大家电配件,c3id,11204,8636
152,4,家用电器,50011876,酸奶/咖啡机配件及辅料,c3id,11078,7815
153,4,家用电器,50013027,商用炸锅,c3id,11075,8200
154,4,家用电器,50008553,蒸汽刷/干洗刷,c2id,10742,7255
155,4,家用电器,50005928,洗碗机,c3id,10344,12824
156,4,家用电器,50016489,更多,c4id,9696,6600
157,4,家用电器,50013050,商用豆浆机,c3id,9651,8434
158,4,家用电器,50013047,商用烘烤炉/烤箱,c3id,9403,8488
159,4,美妆饰品,50005017,电动丰胸仪,c3id,9359,7428
160,4,家用电器,50008652,更多影音配件,c3id,9321,8167
161,4,家用电器,50011871,风扇/换气扇配件,c3id,9202,6493
162,4,家用电器,50023392,电动修脚器,c3id,8934,7208
163,4,家用电器,50008330,电磁茶炉,c3id,8863,7068
164,4,家用电器,50016484,支架,c4id,8859,6974
165,4,家用电器,50008368,烹饪锅,c3id,8639,5716
166,4,家用电器,50013024,冷饮/饮料机,c3id,8034,7241
167,4,家用电器,350406,其它日用家电,c3id,7786,8079
168,4,家用电器,121703,Hifi音箱,c3id,7480,10595
169,4,家用电器,50005015,电子瘦身带/瘦身腰带,c3id,7379,6934
170,4,家用电器,50002901,保温碟/垫,c3id,7304,7558
171,4,家用电器,122630008,传统医用血压计,c4id,7185,5554
172,4,家用电器,50013049,商用电磁炉,c3id,7039,6043
173,4,家用电器,50013023,商用冰淇淋/甜筒/雪糕机,c3id,7009,6318
174,4,家用电器,50015138,电热水壶/保健养生壶配件,c3id,6966,6091
175,4,家用电器,50008739,音频/视频无线传输器材,c3id,6924,8789
176,4,家用电器,50013007,电热杯,c2id,6622,6977
177,4,美妆饰品,50005218,鼻梁增高器,c3id,6532,5643
178,4,家用电器,50013041,棉花糖机,c3id,6490,6672
179,4,家用电器,50008389,桑拿浴箱,c3id,6457,7194
180,4,家用电器,50013031,商用切片机/切肉机,c3id,6117,6665
181,4,家用电器,50008385,牙齿美白仪,c3id,6076,5015
182,4,家用电器,50008741,其它影音产品,c2id,6000,8197
183,4,家用电器,350210,其它个人护理,c2id,5855,7346
184,4,家用电器,50005183,刮痧片/板,c3id,5828,4583
185,4,家用电器,50015563,酒柜,c2id,5816,7029
186,4,家用电器,150806,电话配件,c3id,5751,4259
187,4,家用电器,50011882,电吹风配件,c4id,5585,4155
188,4,家用电器,50024630,理发器配件,c4id,5226,4047
189,4,家用电器,50004204,冰淇淋机,c2id,5142,5874
190,4,家用电器,50024627,其它口腔护理设备,c3id,5000,5886
191,4,家用电器,50008362,切片机/切肉机,c3id,4742,5383
192,4,家用电器,50026084,空调配件,c3id,4718,5601
193,4,家用电器,50013030,扒炉/铁板烧/手抓饼炉,c3id,4687,5276
194,4,家用电器,50013029,商用烤饼机,c3id,4610,6002
195,4,家用电器,50006490,电源插座/接线板,c3id,4479,4600
196,4,家用电器,50013498,太阳能热水器,c3id,4476,7386
197,4,家用电器,50005018,甩脂机,c3id,4445,5612
198,4,美妆饰品,50004999,睫毛卷翘器,c3id,4444,4338
199,4,家用电器,50013042,蒸炉/蒸包炉,c3id,4368,5287
200,4,家用电器,121474016,超声波清洗机,c2id,4320,5536
201,4,家用电器,121472013,CD播放机,c2id,4269,7204
202,4,家用电器,50018614,苹果专用音箱,c3id,4258,5174
203,4,美妆饰品,50005016,塑身按摩贴,c3id,4246,5081
204,4,家用电器,50012144,耳放,c3id,4234,8448
