,pcid,pcidname,cid,cidname,cidtype,comment_num,word_num
0,1,游戏话费,50005462,QQ币/QQ卡,c2id,200474,46144
1,1,游戏话费,125104012,W-王者荣耀代练（手游）代练,c3id,195478,37114
2,1,游戏话费,50010916,网页游戏物品/资源,c2id,161186,39013
3,1,游戏话费,50007212,QQ增值服务,c2id,110056,28036
4,1,游戏话费,125040001,Y-英雄联盟代练,c3id,87511,25127
5,1,游戏话费,50007786,其他游戏帐号,c3id,68616,26694
6,1,游戏话费,50007365,M-魔兽世界代练,c3id,60297,18853
7,1,游戏话费,125114002,L-炉石传说代练,c3id,60224,18587
8,1,游戏话费,50013694,J-剑侠情缘3代练,c3id,31116,14709
9,1,游戏话费,50007784,其他游戏装备,c3id,29335,12014
10,1,游戏话费,50007788,其他游戏代练,c3id,29199,13132
11,1,游戏话费,50013690,J-剑侠情缘3装备,c3id,26112,10553
12,1,游戏话费,125044002,C-穿越火线代练,c3id,25627,10540
13,1,游戏话费,50007749,D-地下城与勇士代练,c3id,25518,11536
14,1,游戏话费,125030007,Q-QQ飞车,c3id,25431,10903
15,1,游戏话费,50007746,D-地下城与勇士装备,c3id,14539,6024
16,1,游戏话费,50007679,M-梦幻西游帐号,c3id,13766,4642
17,1,游戏话费,125052001,A-暗黑破坏神3（国服）代练,c3id,12255,6587
18,1,游戏话费,125042001,T-天涯明月刀代练,c3id,11934,8338
19,1,游戏话费,50008025,C-穿越火线帐号,c3id,9434,7167
20,1,游戏话费,125052007,N-逆战代练,c3id,9170,6821
21,1,游戏话费,125084045,Q-球球大作战（手游）代练,c3id,6742,6234
22,1,游戏话费,50007564,C-彩虹岛装备,c3id,6496,3131
23,1,游戏话费,50008049,Q点,c2id,5982,2210
24,1,游戏话费,50007637,M-冒险岛代练,c3id,5606,4390
25,1,游戏话费,125050001,Z-战舰世界代练,c3id,5493,4465
26,1,游戏话费,50007210,QQ游戏币/欢乐豆,c2id,5410,4702
27,1,游戏话费,50007721,J-劲舞团装备,c3id,5400,3019
28,1,游戏话费,50007636,M-冒险岛装备,c3id,5354,3282
29,1,游戏话费,50007678,M-梦幻西游代练,c3id,5338,5260
30,1,游戏话费,50007957,J-剑侠情缘网络版装备,c3id,4804,4466
31,1,游戏话费,50005487,其它Q秀,c3id,4797,2175
32,1,游戏话费,50007750,D-地下城与勇士帐号,c3id,4590,3571
33,1,游戏话费,50012471,L-论坛邀请码,c3id,4515,5133
34,1,游戏话费,50007635,M-冒险岛游戏币,c3id,4110,2320
35,1,游戏话费,125004004,最终幻想14游戏币,c3id,3429,2160
36,1,游戏话费,50007449,P-跑跑卡丁车帐号,c3id,3259,3249
37,1,游戏话费,50007376,J-街头篮球装备,c3id,3001,2377
38,1,游戏话费,50007488,M-魔力宝贝游戏币,c3id,2390,1576
39,1,游戏话费,124890005,B-暴雪游戏一卡通,c2id,2368,2439
40,1,游戏话费,50007606,EVE游戏币,c3id,2272,1880
41,1,游戏话费,50007489,M-魔力宝贝装备,c3id,1734,1582
42,1,游戏话费,125044001,J-剑灵代练,c3id,1553,1959
43,1,游戏话费,50013692,J-剑侠情缘3帐号,c3id,1154,1874
44,1,游戏话费,50007563,C-彩虹岛游戏币,c3id,1089,1236
45,1,游戏话费,50005491,QQ其它,c2id,1031,1823
46,1,游戏话费,123686001,F-风暴英雄,c2id,1002,1854
47,1,游戏话费,50007719,T-天龙八部帐号,c3id,986,989
48,1,游戏话费,50014052,M-梦幻诛仙,c3id,850,1101
49,1,游戏话费,50007695,D-大话西游2帐号,c3id,827,1737
50,1,游戏话费,124792004,剑灵游戏币,c3id,813,905
51,1,游戏话费,50007927,R-R2装备,c3id,722,1157
52,1,游戏话费,125048001,G-怪物猎人代练,c3id,652,1216
53,1,游戏话费,50007393,X-寻仙装备,c3id,644,985
54,1,游戏话费,50007853,B-边锋帐号,c3id,621,1622
55,1,游戏话费,123664001,Q-7K7K充值卡,c2id,608,666
56,1,游戏话费,50007718,T-天龙八部代练,c3id,468,505
57,1,游戏话费,50007696,Q-QQ幻想游戏币,c3id,400,606
58,1,游戏话费,120850009,S-360币,c2id,393,935
59,1,游戏话费,50025069,A-艾尔之光,c3id,388,846
60,1,游戏话费,50007716,X-新天龙八部,c3id,356,564
61,1,游戏话费,124720003,X-星际战甲,c2id,305,375
62,1,游戏话费,50018799,L-龙之谷账号,c3id,237,593
63,1,游戏话费,50005460,QQ空间,c2id,221,1094
64,1,游戏话费,50007565,C-彩虹岛代练,c3id,219,527
65,1,游戏话费,50025067,QQ仙侠传,c3id,214,298
66,1,游戏话费,50007673,R-热血传奇代练,c3id,209,442
67,1,游戏话费,50007374,J-街头篮球帐号,c3id,204,669
68,1,游戏话费,50007638,M-冒险岛帐号,c3id,200,625
69,1,游戏话费,50005461,腾讯游戏,c2id,197,720
70,1,游戏话费,125076005,F-风暴英雄代练,c3id,187,499
71,1,游戏话费,124966001,怪物猎人游戏币,c3id,173,297
72,1,游戏话费,50007799,VS竞技平台帐号,c3id,154,750
73,1,游戏话费,50007834,Z-诛仙2金币,c3id,151,477
74,1,游戏话费,50007655,W-问道游戏币,c3id,147,300
75,1,游戏话费,50007722,J-劲舞团代练,c3id,145,426
76,1,游戏话费,124258003,F-反恐精英OL2点卡,c2id,119,182
77,1,游戏话费,50007692,D-大话西游2游戏币,c3id,117,537
78,1,游戏话费,50007654,W-完美世界帐号,c3id,113,458
79,1,游戏话费,50007717,T-天龙八部装备,c3id,97,424
80,1,游戏话费,50008011,Z-真三国无双装备,c3id,95,166
81,1,游戏话费,125034012,C-传奇永恒代练,c3id,94,190
82,1,游戏话费,50007676,M-梦幻西游游戏币,c3id,92,194
83,1,游戏话费,50007629,M-魔域帐号,c3id,90,278
84,1,游戏话费,50007366,M-魔兽世界帐号,c3id,84,486
85,1,游戏话费,50007705,B-飚车装备,c3id,82,223
86,1,游戏话费,50007793,V-VS竞技平台VIP/点卡,c2id,82,144
87,1,游戏话费,50007414,B-飚车点卡,c2id,74,97
88,1,游戏话费,50007870,QQ三国帐号,c3id,72,405
89,1,游戏话费,50007917,Y-英雄岛帐号,c3id,71,390
90,1,游戏话费,50007609,EVE帐号,c3id,70,272
91,1,游戏话费,50007540,Y-永恒之塔装备,c3id,70,251
92,1,游戏话费,50007566,C-彩虹岛帐号,c3id,63,407
93,1,游戏话费,124700026,Z-战争雷霆,c2id,57,91
94,1,游戏话费,50007694,D-大话西游2代练,c3id,56,166
95,1,游戏话费,121292002,C-唱吧,c3id,53,559
96,1,游戏话费,50007796,VS竞技平台道具,c3id,53,234
97,1,游戏话费,124862006,Y-有信会员,c3id,44,358
98,1,游戏话费,50025646,Y-游戏蜗牛,c2id,39,60
99,1,游戏话费,50007556,W-完美前传装备,c3id,38,203
100,1,游戏话费,50007658,W-问道帐号,c3id,38,160
101,1,游戏话费,50007560,S-三国群英传装备,c3id,37,96
102,1,游戏话费,124830007,上古世纪游戏币,c3id,36,287
103,1,游戏话费,50007504,Z-征途装备,c3id,35,77
104,1,游戏话费,50026054,X-星际Ⅱ《自由之翼》畅玩版,c2id,33,75
105,1,游戏话费,50013979,M-梦幻诛仙帐号,c3id,32,306
106,1,游戏话费,50007491,M-魔力宝贝帐号,c3id,29,171
107,1,游戏话费,50007618,H-航海世纪游戏币,c3id,29,71
108,1,游戏话费,50007860,L-联众世界帐号,c3id,28,138
109,1,游戏话费,50007693,D-大话西游2装备,c3id,25,173
110,1,游戏话费,50007588,L-洛奇游戏币,c3id,25,98
111,1,游戏话费,50007925,W-武神点卡,c2id,25,25
112,1,游戏话费,122164003,W-完美点券,c2id,23,66
113,1,游戏话费,124728016,W-无尽战区,c2id,21,53
114,1,游戏话费,50686004,Y-11对战平台,c2id,20,162
115,1,游戏话费,50007541,Y-永恒之塔代练,c3id,19,69
116,1,游戏话费,50007674,R-热血传奇帐号,c3id,18,95
117,1,游戏话费,50007839,Z-诛仙2帐号,c3id,17,92
118,1,游戏话费,50025101,S-神武,c3id,17,74
119,1,游戏话费,50007987,Q-QQ自由幻想装备,c3id,17,64
120,1,游戏话费,121290002,T-淘米一卡通,c2id,17,31
121,1,游戏话费,50007525,R-热血江湖帐号,c3id,16,103
122,1,游戏话费,121410049,Y-易玩通,c2id,15,47
123,1,游戏话费,50026040,C-传世无双,c2id,15,22
124,1,游戏话费,50024937,J-剑侠贰外传,c2id,13,11
125,1,游戏话费,50024936,F-封神榜3,c2id,12,13
126,1,游戏话费,50007505,Z-征途帐号,c3id,11,37
127,1,游戏话费,50007444,P-跑跑卡丁车装备,c3id,10,62
128,1,游戏话费,121410048,T-唐人游,c2id,10,25
129,1,游戏话费,125024003,T-天谕代练,c3id,9,209
130,1,游戏话费,50007406,Q-奇迹装备,c3id,9,43
131,1,游戏话费,50007383,S-十二之天贰装备,c3id,9,39
132,1,游戏话费,50005485,QQ秀场景,c3id,8,130
133,1,游戏话费,50007507,Z-征途代练,c3id,8,94
134,1,游戏话费,125046001,S-上古世纪代练,c3id,8,53
135,1,游戏话费,121670001,B-霸王II,c2id,8,19
136,1,游戏话费,50007672,R-热血传奇装备,c3id,6,39
137,1,游戏话费,50007373,J-街头篮球代练,c3id,6,22
138,1,游戏话费,120868008,T-桃园,c2id,6,11
139,1,游戏话费,123100001,Z-征途2经典版点卡,c2id,5,19
140,1,游戏话费,125100005,C-传奇永恒账号,c3id,5,14
141,1,游戏话费,50007651,W-完美世界游戏币,c3id,4,42
142,1,游戏话费,121162002,P-皮卡堂,c2id,4,30
143,1,游戏话费,120860003,G-怪物联盟,c2id,4,27
144,1,游戏话费,122972004,H-幻想神域,c2id,4,26
145,1,游戏话费,50007677,M-梦幻西游装备,c3id,4,24
146,1,游戏话费,50007453,M-梦幻诛仙2,c2id,4,11
147,1,游戏话费,50014234,S-蜀门账号,c3id,3,39
148,1,游戏话费,50007445,G-GT劲舞团2点卡,c2id,3,7
149,1,游戏话费,124690013,X-西楚霸王,c2id,2,44
150,1,游戏话费,50007646,C-传奇世界帐号,c3id,1,59
151,1,游戏话费,121196001,T-天翼决,c2id,1,23
152,1,游戏话费,50005476,QQ宠物其它,c3id,1,14
153,1,游戏话费,124818001,QQ仙灵游戏币,c3id,1,13
154,1,游戏话费,125048009,Y-御龙在天经典版,c2id,1,10
155,1,游戏话费,50007662,J-剑侠情缘2帐号,c3id,1,10
156,1,游戏话费,50007660,J-剑侠情缘2装备,c3id,1,9
157,1,游戏话费,50007871,QQ三国装备,c3id,1,8
158,1,游戏话费,50026065,W-万王之王3,c2id,1,7
159,1,游戏话费,50005482,QQ秀服饰,c3id,1,6
160,1,游戏话费,50014243,R-热血江湖代练,c3id,1,5
161,1,游戏话费,120868003,W-我叫MT,c2id,1,5
162,1,游戏话费,50007656,W-问道装备,c3id,1,5
163,1,游戏话费,50025085,D-夺宝传世,c3id,1,3
164,1,游戏话费,121128001,D-斗破苍穹,c2id,1,2
165,1,游戏话费,120870004,L-老K游戏,c2id,0,0
166,1,游戏话费,50007810,C-赤壁点卡,c2id,0,0
167,1,游戏话费,50007857,C-春秋Q传游戏币,c3id,0,0
168,1,游戏话费,50007584,蜀门游戏币,c3id,0,0
169,1,游戏话费,124876005,热血传奇（手游）元宝,c3id,0,0
170,1,游戏话费,50007644,C-传奇世界装备,c3id,0,0
171,1,游戏话费,50007562,S-三国群英传帐号,c3id,0,0
172,1,游戏话费,50007919,D-大海战II点卡,c2id,0,0
173,1,游戏话费,50114008,Q-起凡通宝卡,c2id,0,0
174,1,游戏话费,50016065,Z-征服账号,c3id,0,0
175,1,游戏话费,121360001,H-狐狸三国,c2id,0,0
