,itemid,comment_id,comment_all,word,datamonth
42,10050303289,301513531714,昨天收到，刚刚用了一次，除了声音大了点，其他方面感觉还不错的，好评一下吧。,昨天#=收到#=，#=刚刚#=用#=了#=一次#=，#=除了#=声音#=大#=了#=点#=，#=其他#=方面#=感觉#=还#=不错#=的#=，#=好评#=一下#=吧#=。,201702
43,10050303289,274467252005,用的时候有味道一股烧焦的味道,用#=的#=时候#=有#=味道#=一股#=烧焦#=的#=味道,201605
44,10050303289,269132091320,质量不错?，噪音略大。习惯了好评?,质量#=不错#=?#=，#=噪音#=略大#=。#=习惯#=了#=好评#=?,201604
45,10050303289,273580181472,挺好的,挺#=好#=的,201605
46,10050303289,272993059634,很不错质量好还有质保发票,很#=不错#=质量#=好#=还有#=质保#=发票,201605
47,10050303289,285289187054,质量很好,质量#=很#=好,201609
48,10050303289,276408870504,做工差，声音大，失望！,做工#=差#=，#=声音#=大#=，#=失望#=！,201606
49,10050303289,281832137621,描述的不全面，规格不清楚，本来要用来打豆浆的，太小了只能打果汁了。,描述#=的#=不#=全面#=，#=规格#=不#=清楚#=，#=本来#=要#=用来#=打#=豆浆#=的#=，#=太小#=了#=只能#=打#=果汁#=了#=。,201608
50,10050303289,276215327620,声音超大，磨粉不行,声音#=超大#=，#=磨粉#=不行,201606
51,10050303289,276462490374,第二次买好用,第二次#=买好#=用,201606
52,10050303289,276260907359,不错，很好用，是正品。。,不错#=，#=很#=好#=用#=，#=是#=正品#=。#=。,201606
53,10050303289,276674889856,不错很好用，磨出来的也不错,不错#=很#=好#=用#=，#=磨#=出来#=的#=也#=不错,201606
54,10050303289,279758969209,还不错，感觉挺实用的，孩子再也不用喝外面的花花绿绿的饮料了，不好意思，忘了收货了，今天再给妹妹家买一个,还#=不错#=，#=感觉#=挺#=实用#=的#=，#=孩子#=再也#=不用#=喝#=外面#=的#=花花绿绿#=的#=饮料#=了#=，#=不好意思#=，#=忘#=了#=收货#=了#=，#=今天#=再#=给#=妹妹#=家买#=一个,201607
55,10050303289,279290112383,一个礼拜买了两个，好用，好评,一个#=礼拜#=买#=了#=两个#=，#=好用#=，#=好评,201607
56,10050303289,275563324624,宝贝非常的不错！下次还买! 卖家发货及时，服务态度非常棒！,宝贝#=非常#=的#=不错#=！#=下次#=还#=买#=!#= #=卖家#=发货#=及时#=，#=服务态度#=非常#=棒#=！,201606
57,10050303289,276213965613,宝贝收到，包装不错，还没用用后追评，客服服务热情,宝贝#=收到#=，#=包装#=不错#=，#=还#=没用#=用后#=追评#=，#=客服#=服务#=热情,201606
58,10050303289,273460248902,收货挺快的，包装也很好，马上试试，挺好咯！好评！,收货#=挺快#=的#=，#=包装#=也#=很#=好#=，#=马上#=试试#=，#=挺#=好#=咯#=！#=好评#=！,201605
